World,China,United States,India,Indonesia,Japan,Russia,Brazil,Germany,Iran,Canada,Democratic Republic of the Congo,South Korea,Saudi Arabia,Mexico,South Africa,Australia,Turkey,United Kingdom,Malaysia,Italy,Poland,Thailand,France,Egypt,Vietnam,Spain,Kazakhstan,Pakistan,Argentina,United Arab Emirates,Iraq,Venezuela,Nigeria,Ukraine,Colombia,Netherlands,Algeria,Philippines,Peru,Myanmar,Uzbekistan,Bangladesh,Zimbabwe,Czech Republic,Belgium,Qatar,Bolivia,Kuwait,Tanzania,Oman,Turkmenistan,Greece,Ecuador,Morocco,Angola,Israel,Mozambique,Libya,Austria,Paraguay,Romania,Finland,Portugal,Botswana,Papua New Guinea,Hungary,Ethiopia,Singapore,Solomon Islands,Serbia,Cameroon,Sudan,Zambia,Cambodia,Belarus,Côte d'Ivoire,Switzerland,Ireland,Denmark,Slovakia,Bahrain,Azerbaijan,Chile,Burkina Faso,Syria,Lebanon,Laos,Tunisia,Nicaragua,Jordan,Mongolia,Chad,Dominican Republic,Sri Lanka,Uganda,Cuba,New Zealand,Guatemala,North Korea,Bosnia and Herzegovina,Sweden,Benin,Norway,Somalia,Estonia,Trinidad and Tobago,Guyana,Guinea,Honduras,Nepal,Namibia,Liberia,Panama,Slovenia,Central African Republic,Senegal,Republic of Congo,Madagascar,Croatia,Suriname,Gabon,Lithuania,Kenya,Equatorial Guinea,South Sudan,Malawi,Georgia,Yemen,Luxembourg,Moldova,Jamaica,El Salvador,Kyrgyzstan,Afghanistan,Brunei,Macedonia,Bulgaria,Tajikistan,Cyprus,Belize,Mali,Armenia,Albania,Latvia,Uruguay,Sierra Leone,Mauritius,Burundi,Haiti,Niger,Togo,Mauritania,Rwanda,Lesotho,Montenegro,Bahamas,Iceland,Maldives,Guinea-Bissau,Malta,Barbados,Eritrea,Gambia,Timor-Leste,Eswatini,Costa Rica,Seychelles,Cape Verde,Antigua and Barbuda,Djibouti,Andorra,Samoa,Sao Tome and Principe,Comoros,Grenada,Palau,Saint Vincent and the Grenadines,Saint Kitts and Nevis,Saint Lucia,Marshall Islands,Tonga,Vanuatu,Dominica,Micronesia,Liechtenstein,Cook Islands,Kiribati,Bhutan,Nauru,Tuvalu,Niue,Fiji,Ghana
25637.87,2994.73,5357.88,719.07,795.62,1107.18,1115.29,1351.16,778.97,320.34,580.65,368.63,413.25,244.34,406.79,291.05,389.23,199.67,519.16,233.1,401.78,282.27,174.79,348.31,112.45,-22.17,250.68,113.85,106.42,176.25,84.54,74.44,279.51,122.06,248.7,150.83,163.75,79.17,75.59,88.18,150.72,120.9,43.87,24.1,113.72,113.27,21.73,84.31,47.15,55.08,22.54,36.85,93.53,57.94,28.39,22.67,56.97,49.78,39.87,50.06,45.56,89.58,24.44,63.11,45.33,37.59,56.26,29.97,42.53,4.15,41.07,59.65,27.03,19.21,6.13,20.46,66.99,42.24,40.15,53.04,28.64,15.88,38.43,32.46,13.31,38.86,15.69,11.41,20.01,23.3,16.27,13.21,8.13,11.39,15.55,17.19,17.38,3.6,25.54,78.18,17.21,55.31,16.52,19.02,17.84,13.38,14.44,9.63,12.24,10.57,1.93,12.5,13.85,11.27,5.18,14.2,8.95,12.04,30.57,17.19,4.94,8.32,11.12,3.88,6.18,7.06,9.06,-13.5,13.89,8.03,6.4,10.5,6.71,3.65,-1.62,5.75,8.82,21.56,2.23,7.0,6.97,1.41,3.69,3.36,-5.77,-7.78,3.74,2.41,5.87,1.54,6.34,3.93,1.51,3.43,1.75,-0.34,2.14,2.24,0.46,1.63,2.13,1.24,1.07,0.77,0.46,1.0,7.41,0.58,-0.29,0.33,0.37,0.52,0.25,0.06,0.16,0.21,0.21,0.12,0.19,0.22,0.1,0.1,0.09,0.19,0.1,0.24,0.03,0.04,-6.24,0.09,0.01,0.01,-1.69,15.62
25726.42,3194.5,5347.79,958.86,631.16,1073.16,721.85,1420.6,829.38,306.74,808.34,368.5,410.4,248.6,316.03,326.95,374.35,154.82,533.53,224.83,401.86,222.2,138.28,310.56,124.84,73.93,275.62,110.36,106.88,219.67,96.26,84.25,224.46,131.14,276.38,138.97,168.59,72.36,74.05,91.18,131.84,111.13,48.44,24.84,115.78,115.34,23.49,64.78,50.8,55.24,25.28,37.92,95.53,51.91,32.4,48.53,57.94,50.34,41.43,61.75,59.92,91.42,45.79,61.97,45.17,37.87,58.7,35.42,42.22,1.94,10.58,47.65,27.92,19.25,5.73,27.14,32.84,42.83,42.79,53.84,30.18,16.39,36.91,11.78,17.47,40.62,16.9,13.17,20.34,27.56,16.25,13.06,17.2,17.03,13.35,17.19,16.94,8.9,23.53,76.08,14.11,40.95,12.55,11.91,17.86,13.87,15.57,10.32,12.67,11.21,-0.67,13.02,13.89,10.62,3.85,14.22,10.82,11.98,23.69,18.37,5.32,7.73,11.25,22.73,6.56,7.17,9.06,0.0,15.08,8.63,6.02,7.65,6.95,3.96,0.93,5.66,8.99,22.63,1.8,6.67,3.76,1.61,3.73,2.11,-6.54,-5.02,3.77,2.65,3.74,1.67,1.9,2.12,1.57,3.2,1.77,-4.13,2.13,2.14,0.48,1.64,2.49,1.31,1.15,0.84,0.46,0.95,4.97,0.64,0.18,0.35,0.38,0.52,0.26,0.06,0.17,0.23,0.22,0.21,0.21,0.29,0.11,0.1,0.09,0.14,0.12,0.24,0.04,0.03,-6.25,0.08,0.01,0.01,-1.47,52.07
26486.63,3476.08,5192.68,992.51,1001.39,1109.5,723.05,1418.33,815.01,324.45,826.9,368.58,401.82,266.91,322.01,337.79,382.28,165.15,519.27,240.01,408.76,215.84,149.6,304.82,127.57,86.61,293.62,119.94,109.37,212.28,98.12,79.36,232.75,132.1,279.72,136.86,168.66,78.01,75.33,92.36,131.21,113.78,50.03,23.43,111.58,107.84,27.6,65.12,53.37,55.66,26.94,39.75,95.52,52.08,33.75,49.24,61.07,50.5,43.6,63.2,60.08,90.9,48.21,66.19,45.34,38.4,58.0,35.65,41.32,1.95,14.12,47.55,29.35,19.38,5.78,27.13,32.96,41.23,41.92,53.96,29.68,17.22,36.32,12.6,17.48,41.32,16.84,13.28,20.43,27.7,16.87,13.69,17.21,18.93,13.89,17.39,15.71,8.76,24.19,72.9,14.9,42.49,12.83,11.6,17.92,13.46,16.15,10.3,12.72,11.49,-1.35,12.69,13.88,9.81,4.0,14.21,10.95,11.79,23.14,19.45,4.92,7.49,11.31,22.54,7.86,7.16,9.05,-0.56,15.14,9.33,6.18,7.82,7.02,4.96,1.22,5.66,8.43,20.08,1.78,6.85,3.76,1.4,3.24,2.63,-6.54,-5.44,3.88,2.7,3.74,1.89,1.93,2.29,1.66,3.19,1.8,-4.13,2.28,2.22,0.61,1.64,2.32,1.37,1.14,0.83,0.63,0.94,5.07,0.54,0.22,0.39,0.4,0.53,0.26,0.07,0.17,0.24,0.22,0.23,0.23,0.26,0.12,0.1,0.08,0.11,0.11,0.25,0.04,0.04,-6.21,0.08,0.01,0.01,-1.62,53.28
27308.37,4081.05,5258.12,1020.87,761.93,1118.29,753.44,1410.4,818.31,346.42,846.79,368.77,404.49,278.11,340.27,359.5,381.38,176.2,531.12,247.43,427.49,226.19,157.31,310.45,131.07,88.48,299.53,134.78,112.73,223.19,103.53,72.03,225.21,134.68,305.94,136.47,171.59,81.43,77.15,91.76,134.72,106.71,51.21,21.12,115.82,112.49,28.91,66.0,55.61,55.84,27.67,44.25,99.14,52.45,33.69,53.63,62.88,50.83,44.28,68.3,60.24,96.93,56.53,61.11,45.24,38.72,60.56,36.09,38.16,1.96,17.51,47.42,29.54,19.54,5.95,27.87,31.74,42.49,42.09,59.33,29.94,17.95,32.52,13.83,17.55,41.61,17.42,13.33,20.56,28.17,17.31,13.39,17.44,16.78,14.92,17.47,14.97,10.62,24.26,74.43,15.21,43.7,13.09,14.25,17.93,15.44,15.45,10.3,12.79,12.13,-1.12,12.83,13.92,9.93,3.89,14.2,10.85,11.9,23.57,20.78,5.04,7.56,11.32,21.64,8.99,7.16,9.06,-0.36,17.4,9.75,6.76,8.16,7.59,5.58,1.47,6.65,9.21,24.35,1.82,7.51,3.74,1.4,3.62,2.99,-6.29,-5.48,3.93,2.83,3.7,1.88,1.99,2.78,1.7,3.18,1.82,-4.13,2.25,2.2,0.53,1.68,2.61,1.38,1.15,0.83,0.63,0.87,5.34,0.55,0.24,0.41,0.41,0.53,0.27,0.08,0.19,0.25,0.22,0.23,0.23,0.3,0.11,0.12,0.09,0.13,0.13,0.26,0.04,0.05,-6.25,0.07,0.01,0.01,-1.46,52.99
28826.48,4789.59,5338.46,1092.16,1031.49,1113.6,765.36,1427.88,802.5,375.44,838.71,368.87,424.78,294.21,347.46,386.36,394.65,181.64,531.36,268.09,437.69,230.24,176.75,311.47,142.52,102.81,316.44,148.7,125.72,236.68,109.98,75.24,229.89,134.63,282.73,136.72,173.27,82.49,78.71,96.19,136.38,109.82,52.99,20.71,116.49,111.01,31.91,66.32,59.47,57.14,27.52,46.65,98.76,53.98,37.64,54.9,63.15,50.84,45.49,69.63,60.28,94.04,52.66,62.72,45.33,39.71,58.66,36.42,39.56,2.0,21.96,47.88,30.31,19.57,5.95,30.99,32.01,42.93,42.73,53.87,29.04,17.93,32.28,18.64,17.58,44.01,17.89,13.39,21.52,28.14,18.58,13.66,17.45,15.32,15.37,17.62,14.72,10.04,24.47,76.02,15.92,42.17,13.24,14.6,17.93,15.55,16.11,10.78,12.86,12.97,-1.33,12.94,14.0,10.01,4.18,14.2,11.76,11.81,23.67,20.27,5.37,7.62,11.98,22.55,11.08,7.16,9.09,-0.14,18.4,11.17,6.77,8.14,7.76,5.55,1.25,6.2,8.92,23.63,2.23,7.45,3.68,1.48,3.89,3.18,-6.24,-4.51,3.91,2.85,3.68,1.74,2.02,2.72,1.81,3.18,1.87,-4.13,2.16,2.29,0.74,1.69,2.6,1.36,1.14,0.85,0.66,0.86,5.48,0.75,0.27,0.4,0.4,0.56,0.28,0.08,0.21,0.23,0.23,0.25,0.24,0.3,0.13,0.13,0.07,0.14,0.13,0.26,0.05,0.05,-6.3,0.07,0.01,0.01,-1.08,52.48
29663.75,5486.88,5354.45,1142.71,829.93,1116.25,762.04,1431.63,783.85,406.93,851.37,369.19,419.96,308.97,365.66,384.03,398.89,192.05,529.64,279.59,439.12,229.77,182.59,314.34,160.42,110.49,331.38,160.96,128.74,241.14,116.28,88.17,244.71,144.43,270.97,138.41,169.08,86.58,80.49,96.24,134.24,103.2,55.17,21.45,113.05,107.6,41.28,66.97,67.23,57.72,27.87,48.19,100.86,55.72,39.96,53.82,60.98,50.64,49.13,70.07,60.0,93.11,40.47,66.07,45.63,39.43,58.23,36.18,36.85,2.03,15.92,47.95,31.86,19.75,6.21,31.68,32.4,43.49,44.65,50.25,30.12,20.7,34.84,19.63,17.6,54.92,17.29,13.43,21.84,27.94,19.87,15.17,17.47,16.73,16.48,18.07,15.6,11.43,25.24,79.28,16.57,38.88,13.49,13.52,17.93,15.77,19.8,10.57,12.92,12.38,-0.96,13.09,14.11,11.52,4.4,14.2,12.03,13.79,23.73,20.63,5.66,7.82,12.88,23.44,11.92,7.16,9.1,0.73,19.38,11.42,7.17,8.13,7.92,5.29,1.76,6.11,9.36,24.32,2.1,7.61,3.7,1.65,4.58,2.95,-6.14,-4.56,3.83,3.05,3.69,1.78,1.99,2.69,1.84,3.18,1.9,-2.12,2.02,2.26,0.71,1.7,2.62,1.41,1.06,0.86,0.67,0.88,5.81,0.7,0.38,0.41,0.43,0.58,0.29,0.09,0.2,0.25,0.26,0.25,0.22,0.26,0.14,0.13,0.07,0.15,0.13,0.26,0.06,0.07,-6.2,0.07,0.01,0.01,-1.27,52.88
30905.93,6099.67,5254.87,1219.23,1152.83,1092.63,821.2,1435.1,795.83,446.5,842.42,369.3,426.82,328.35,382.98,385.95,404.44,218.13,530.68,277.26,431.94,242.51,184.56,305.12,168.96,113.77,322.65,178.69,139.55,250.19,121.46,83.84,237.03,138.2,279.54,138.22,164.82,91.35,73.19,95.96,135.2,110.33,58.36,20.77,113.65,105.63,44.98,68.05,69.65,58.1,37.52,49.57,99.62,57.68,41.66,55.95,64.32,50.79,49.37,67.93,60.13,96.25,52.06,61.04,45.44,39.01,57.73,36.53,37.12,2.03,18.17,48.29,34.23,19.62,6.52,33.97,32.21,43.12,45.68,58.19,29.48,22.49,32.36,20.96,17.85,58.15,16.24,13.82,22.76,28.15,20.17,16.53,17.49,18.38,14.9,18.45,16.05,11.48,25.23,80.64,18.26,37.61,14.54,14.51,17.93,14.54,22.36,10.42,12.99,13.39,-1.53,13.1,14.13,11.89,4.78,14.22,11.94,13.94,23.67,20.79,5.5,7.23,13.07,24.41,13.0,7.16,9.11,1.18,19.41,11.22,6.97,9.63,8.32,5.31,2.06,8.48,9.37,25.41,2.32,7.67,3.75,1.89,4.61,2.94,-5.65,-3.64,3.97,3.39,3.73,1.79,1.98,2.51,1.85,3.18,1.92,-1.95,2.02,2.31,0.87,1.7,2.65,1.47,0.98,0.89,0.67,0.88,6.09,0.74,0.44,0.44,0.43,0.55,0.3,0.09,0.21,0.26,0.25,0.25,0.23,0.29,0.14,0.15,0.07,0.16,0.11,0.26,0.06,0.07,-6.21,0.05,0.01,0.01,-1.18,54.29
31608.28,6655.98,5338.52,1341.07,738.57,1128.57,822.52,1452.63,765.28,479.47,872.59,369.45,441.38,347.53,395.67,403.29,414.75,246.01,518.2,298.83,424.66,241.79,190.63,296.43,182.06,123.43,335.55,187.59,153.32,258.46,131.69,77.42,239.91,136.12,287.66,139.7,165.74,98.12,76.94,98.99,135.08,106.74,60.48,20.7,116.68,101.57,51.05,68.93,68.71,57.92,41.03,56.03,103.23,58.14,43.21,59.1,66.58,51.16,46.29,65.08,60.25,93.74,50.15,59.39,45.67,39.11,56.13,37.2,38.23,2.03,16.99,49.47,35.22,19.42,7.18,32.48,32.14,41.18,44.89,53.38,28.82,23.01,25.7,28.66,18.13,61.44,15.06,13.91,23.21,28.3,21.09,17.13,17.55,18.65,16.07,18.78,16.95,10.57,26.12,67.33,19.23,35.88,15.1,15.16,17.98,18.52,22.21,10.69,13.06,13.96,-1.46,13.18,14.08,11.88,4.77,14.23,12.57,14.09,23.76,22.06,5.38,7.24,13.26,24.48,11.38,7.16,9.16,2.11,20.63,10.62,7.13,9.59,8.71,6.46,2.49,8.1,9.81,29.07,2.9,7.97,3.78,2.07,5.33,3.1,-5.3,-4.12,3.88,3.48,3.73,2.11,2.05,2.44,2.11,3.21,1.96,-2.03,2.07,2.36,0.87,1.72,2.71,1.48,0.97,0.93,0.67,0.91,7.14,0.65,0.4,0.46,0.47,0.54,0.3,0.09,0.18,0.28,0.24,0.3,0.25,0.19,0.14,0.13,0.11,0.17,0.11,0.23,0.06,0.06,-6.22,0.04,0.01,0.01,-1.28,54.91
31856.76,6862.78,5161.51,1428.85,731.76,1061.73,844.09,1473.28,771.22,489.82,851.45,369.57,453.07,382.24,410.68,432.95,417.88,244.24,503.46,309.7,410.27,236.73,194.8,291.73,188.94,135.62,305.03,230.49,149.23,262.98,156.2,85.99,250.61,137.52,276.79,140.52,166.5,101.59,79.11,103.44,130.98,112.59,64.06,18.54,111.36,103.92,55.23,69.91,72.89,58.07,40.08,56.68,99.32,58.84,45.66,60.69,66.7,51.17,51.47,64.56,60.48,92.52,41.74,57.43,45.75,38.23,55.29,38.04,38.37,2.01,15.76,49.57,36.31,19.64,7.52,35.27,32.95,42.6,44.22,50.1,28.64,24.77,27.77,32.16,18.36,63.39,18.67,14.22,23.48,28.1,20.01,17.07,17.63,18.6,15.28,19.02,16.06,11.54,24.96,74.53,21.11,34.94,15.06,14.23,17.97,16.96,21.28,10.68,13.09,14.01,-1.16,13.52,13.98,11.7,5.86,14.23,12.77,14.42,23.82,20.91,5.42,7.32,13.11,25.03,12.81,7.16,9.29,1.32,22.01,10.53,7.14,7.19,7.99,7.5,4.51,8.48,9.58,26.47,2.68,8.13,3.74,2.09,5.81,3.05,-5.71,-2.22,3.9,3.55,3.73,2.1,2.1,2.51,2.19,3.2,2.01,-1.44,2.11,2.16,0.87,1.71,2.72,1.78,0.9,0.96,0.67,0.89,7.06,0.7,0.41,0.48,0.47,0.54,0.29,0.1,0.18,0.29,0.21,0.22,0.25,0.2,0.13,0.13,0.1,0.17,0.09,0.25,0.06,0.06,-6.21,0.04,0.01,0.01,-1.59,54.42
31769.89,7382.89,4757.65,1573.51,1036.71,1003.19,726.06,1451.95,716.32,507.16,822.04,369.61,465.27,399.63,395.03,410.42,424.33,244.87,454.16,303.97,362.34,225.64,187.79,277.4,195.32,149.73,268.35,202.7,152.2,252.27,157.18,107.46,251.06,120.23,227.7,143.48,161.66,110.37,79.91,106.56,132.1,102.75,67.24,18.69,104.22,96.65,57.17,70.77,75.01,57.89,42.73,50.21,93.65,61.0,46.02,62.75,65.71,51.44,53.81,58.26,60.68,77.83,39.31,56.89,45.43,38.26,50.11,38.16,38.78,2.02,11.48,50.18,36.79,19.9,8.3,32.15,32.52,41.31,38.89,47.87,25.44,24.73,23.33,29.28,18.38,58.48,21.92,14.71,23.79,28.03,20.66,17.75,17.64,17.69,14.76,19.24,16.85,8.49,25.57,57.06,20.93,31.76,15.41,14.63,17.97,13.63,20.33,10.7,13.2,13.5,-0.28,13.59,13.98,13.09,4.01,14.23,13.02,14.45,23.72,19.48,5.42,7.39,11.72,26.82,13.49,7.16,9.3,2.11,25.65,9.95,6.63,5.45,7.76,6.75,6.12,8.7,8.96,19.41,2.04,7.91,4.72,2.51,4.63,3.2,-6.45,-2.3,3.89,3.51,3.73,2.06,2.32,3.77,2.39,3.23,2.1,-2.38,6.02,2.08,0.91,1.72,2.5,4.62,0.93,1.01,0.7,0.94,6.74,0.51,0.45,1.39,0.46,0.52,0.3,0.1,0.19,0.81,0.2,0.99,0.7,0.93,0.14,0.14,0.13,0.49,0.1,0.23,0.05,0.06,-6.24,0.04,0.01,0.01,-1.58,55.8
33328.38,8138.34,4990.96,1670.29,773.92,1057.96,814.11,1498.84,754.58,506.63,836.28,369.76,514.14,439.23,402.21,431.5,416.72,254.16,470.83,316.2,370.56,242.12,202.37,281.45,196.33,167.68,254.12,222.05,147.68,262.97,162.82,120.18,258.53,136.73,244.87,145.22,172.28,110.74,85.95,110.45,134.15,110.95,73.09,20.75,106.98,103.46,62.27,71.94,78.22,58.88,46.47,57.19,86.49,63.22,49.14,64.14,70.51,51.64,57.23,63.79,61.35,74.81,47.7,51.53,44.71,38.24,50.15,37.72,42.36,2.03,11.07,50.41,37.68,20.09,8.5,36.42,32.83,42.85,38.5,48.16,27.05,25.98,22.33,33.63,18.54,59.02,20.89,15.05,26.13,28.15,20.2,18.42,17.7,18.7,15.53,19.68,20.01,8.3,25.16,53.32,21.19,37.15,15.8,19.05,17.98,17.58,22.76,10.84,13.58,13.56,0.48,13.69,14.17,13.58,4.28,14.24,13.39,14.02,23.91,18.63,5.71,7.95,12.64,27.75,13.35,7.17,9.22,1.81,23.99,10.54,7.29,5.05,7.62,6.34,8.79,8.11,8.73,21.29,2.07,7.55,3.81,2.78,4.46,3.46,-5.28,-3.69,3.94,3.75,3.86,2.53,2.6,3.57,2.47,3.24,2.16,-1.55,2.08,1.93,0.96,1.73,2.58,1.59,0.96,0.97,0.71,0.88,6.65,0.44,0.48,0.49,0.52,0.52,0.3,0.11,0.22,0.29,0.21,0.25,0.24,0.28,0.14,0.12,0.13,0.17,0.08,0.22,0.06,0.05,-6.14,0.04,0.01,0.01,-1.39,57.0
33226.01,8568.09,4753.12,1695.97,1285.69,1162.67,974.12,679.1,717.17,561.73,682.88,603.89,546.83,456.67,494.81,415.41,356.33,258.05,433.47,92.13,362.02,283.51,234.88,272.44,202.53,126.39,266.54,232.33,147.09,242.84,166.32,131.12,278.48,148.08,269.24,126.41,160.24,117.51,86.9,137.45,114.79,121.91,76.45,22.81,107.35,93.21,65.77,76.22,81.15,60.13,52.38,63.41,85.95,52.55,56.35,65.07,69.77,48.78,38.05,61.2,73.39,-201.17,0.44,49.06,45.33,45.47,48.25,39.29,44.72,-17.47,47.97,41.65,36.5,35.92,70.11,41.94,32.6,38.98,34.11,41.14,26.53,26.03,25.71,-4.88,8.07,55.25,21.1,11.71,29.6,15.76,20.76,18.9,26.72,19.7,16.07,19.99,15.83,13.64,19.45,40.24,20.02,22.31,15.69,21.2,17.99,11.9,23.3,18.58,13.75,14.68,8.21,13.88,14.29,14.39,13.1,14.26,12.04,13.99,12.3,17.54,10.2,12.09,5.78,21.33,13.54,6.95,9.32,6.52,20.69,10.69,7.9,7.83,7.86,6.88,12.02,7.36,9.64,37.56,2.14,7.23,6.11,3.12,4.86,4.2,5.24,0.71,4.11,3.64,-1.04,3.45,2.64,3.45,2.59,2.42,2.21,2.56,2.42,1.81,1.01,1.73,2.57,1.66,0.96,0.98,0.71,0.89,0.16,0.4,0.5,0.51,0.48,0.49,0.3,0.32,0.21,0.29,0.22,0.23,0.26,0.24,0.14,0.11,0.13,0.16,0.09,0.18,0.06,0.05,-0.65,0.04,0.01,0.0,-1.44,41.62
33620.34,8823.05,4531.16,1843.74,1303.87,1202.66,979.37,713.75,730.81,571.12,682.31,603.8,548.5,488.75,494.56,432.99,356.33,269.21,456.12,91.92,342.08,276.27,252.33,275.23,213.32,124.61,261.41,231.63,149.2,244.1,175.73,151.94,292.24,146.67,263.01,126.78,158.89,126.01,90.49,137.24,118.38,108.17,80.01,23.43,103.54,92.6,73.29,77.02,83.58,61.83,58.65,66.3,81.49,53.68,58.71,65.85,76.01,48.66,52.3,58.04,73.35,-203.39,-5.25,47.42,46.46,45.2,44.77,40.2,43.64,-17.47,42.61,40.77,36.73,36.89,70.35,43.38,34.5,40.26,34.85,36.25,24.76,26.57,27.91,-2.86,8.58,45.32,23.41,11.94,30.56,15.67,24.12,20.31,26.79,20.47,17.47,19.74,16.14,15.3,19.86,41.7,18.25,19.9,15.45,20.16,17.98,10.63,22.23,18.74,13.62,15.04,9.01,14.1,14.4,14.86,12.54,14.27,11.93,14.11,12.85,15.96,10.69,12.27,5.86,20.42,13.84,7.99,9.3,7.19,19.68,10.45,7.69,7.35,7.85,9.32,10.2,7.48,9.13,33.01,2.59,6.7,6.16,3.11,5.64,3.74,4.92,1.62,4.24,3.73,-1.01,3.15,3.12,3.17,2.79,2.5,2.28,2.36,3.64,1.78,1.14,1.74,2.71,2.21,1.01,0.99,0.76,0.93,0.18,0.45,0.47,0.72,0.51,0.49,0.31,0.33,0.21,0.42,0.21,0.4,0.35,0.38,0.14,0.11,0.12,0.25,0.1,0.19,0.07,0.06,-0.56,0.04,0.01,0.0,-1.52,43.63
34217.18,9226.51,4670.34,1901.98,1250.27,1211.27,936.52,744.85,748.42,592.48,691.53,605.02,547.18,499.38,483.71,443.16,349.83,258.5,442.1,109.59,311.79,271.24,262.72,275.53,211.34,132.72,234.94,246.48,150.55,249.58,184.1,162.63,296.03,156.71,254.33,134.29,158.49,129.29,100.23,138.39,121.56,110.01,82.55,23.68,99.08,94.25,74.6,78.34,85.25,62.76,60.99,67.78,73.89,56.47,58.28,68.42,66.95,49.04,54.99,58.68,73.47,-213.11,-4.46,45.75,46.89,45.44,42.1,41.97,43.87,-17.44,43.3,41.08,36.01,37.09,70.5,43.53,35.08,41.27,33.47,38.03,25.34,28.76,28.54,1.59,8.84,29.85,23.17,12.58,30.65,15.48,23.8,21.55,26.82,20.07,15.11,20.1,14.64,15.03,20.72,31.02,18.13,18.3,15.73,19.27,18.01,13.04,22.84,18.7,13.31,15.24,9.1,14.38,14.36,15.0,11.97,14.27,12.48,13.41,13.03,15.54,10.54,12.15,5.27,22.39,13.18,8.02,9.39,7.84,26.35,9.91,6.73,7.82,7.54,8.64,8.27,7.36,8.24,27.7,2.76,6.07,5.97,3.05,5.42,3.95,4.8,0.46,4.41,3.82,-1.0,3.38,3.02,2.69,2.59,2.56,2.29,2.3,3.11,1.95,1.13,1.75,2.37,1.48,1.03,0.97,0.92,1.42,0.51,0.41,0.44,0.47,0.56,0.48,0.31,0.34,0.24,0.32,0.22,0.22,0.23,0.17,0.14,0.12,0.11,0.17,0.11,0.19,0.07,0.06,-0.46,0.05,0.01,0.0,-1.42,44.42
34558.59,9184.77,4683.35,2072.03,1539.23,1170.11,919.33,768.77,708.25,610.67,697.02,606.16,535.54,536.81,472.17,454.27,340.43,280.97,403.89,135.37,292.83,258.63,259.38,243.42,217.56,146.44,233.1,195.37,159.12,245.48,183.84,168.92,296.87,162.19,223.34,136.32,151.26,138.18,106.84,141.68,124.63,102.29,85.7,23.47,96.12,87.8,80.4,79.95,83.57,62.68,64.47,69.49,70.95,58.25,59.72,70.23,64.67,50.05,59.7,54.92,73.8,-213.71,-8.47,45.12,48.46,45.98,41.96,43.91,44.41,-17.48,35.88,41.46,36.85,37.64,71.55,43.05,35.59,37.51,33.3,33.81,22.84,30.22,29.78,-4.97,8.89,26.4,24.86,13.09,32.71,15.74,25.59,21.3,26.83,20.14,18.22,20.57,14.17,15.07,21.66,34.62,15.77,16.89,16.22,19.34,18.0,11.67,22.03,18.77,13.38,15.36,10.15,14.56,14.66,15.68,10.55,14.28,13.04,13.55,13.15,14.84,10.89,11.95,4.78,23.32,11.92,8.07,9.24,8.47,26.71,9.41,7.27,7.64,7.67,8.97,7.56,7.37,7.78,30.12,4.07,6.43,5.96,3.12,5.4,4.37,4.6,-0.4,4.52,3.96,-1.02,3.71,3.21,2.53,2.91,2.59,2.31,2.25,2.62,1.97,1.36,1.76,2.35,1.29,1.06,1.04,0.99,0.83,0.54,0.46,0.44,0.48,0.46,0.46,0.32,0.33,0.22,0.25,0.22,0.29,0.23,0.21,0.15,0.11,0.16,0.17,0.11,0.16,0.07,0.06,-0.38,0.05,0.01,0.0,-1.24,43.77
34521.91,9120.27,4563.52,2085.38,1574.76,1131.74,870.02,741.96,713.08,602.23,693.99,604.26,556.05,561.14,486.44,431.17,346.53,291.92,389.41,124.54,303.19,261.94,263.34,249.42,226.86,186.54,248.42,196.78,169.04,251.66,194.04,162.27,282.4,154.14,176.6,137.53,159.47,145.35,116.1,142.68,128.25,98.41,93.58,23.72,97.35,92.84,83.31,80.19,88.03,63.65,68.3,72.08,69.41,57.76,61.71,70.76,66.09,51.22,53.84,56.08,74.5,-212.22,-11.81,49.04,48.54,46.54,44.72,44.46,45.45,-17.52,42.32,41.72,39.32,37.91,73.51,38.47,36.19,36.82,34.75,31.65,23.15,30.59,29.32,0.62,9.27,25.37,26.97,17.32,33.55,16.25,25.36,20.48,26.87,22.27,20.97,20.69,14.78,15.47,24.05,28.5,15.9,17.0,16.7,19.7,18.0,9.21,21.37,18.76,13.68,15.76,9.48,14.83,14.7,15.1,10.54,14.28,13.76,12.91,13.43,15.18,11.0,11.93,4.98,25.38,10.97,8.51,9.34,9.2,14.21,8.89,7.57,7.53,8.08,9.53,7.74,6.35,7.48,32.57,4.36,6.46,6.13,3.41,5.26,4.23,4.64,-0.31,4.28,3.97,-1.0,3.97,3.2,2.76,3.34,2.7,2.23,2.39,2.37,1.98,1.35,1.77,1.65,1.29,1.03,1.06,1.07,0.9,0.25,0.5,0.44,0.49,0.54,0.47,0.35,0.34,0.24,0.27,0.22,0.22,0.24,0.23,0.15,0.11,0.14,0.17,0.12,0.16,0.06,0.06,-0.35,0.05,0.01,0.0,-1.03,44.53
